    PID TTY          TIME CMD
  23222 ?        00:00:00 dbus-daemon
  23221 ?        00:00:00 dbus-launch
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00  \_ rcu_gp
      4 ?        00:00:00  \_ rcu_par_gp
      6 ?        00:00:00  \_ kworker/0:0H-kblockd
      9 ?        00:00:00  \_ mm_percpu_wq
     10 ?        00:00:00  \_ ksoftirqd/0
     11 ?        00:00:30  \_ rcu_sched
     12 ?        00:00:00  \_ migration/0
     13 ?        00:00:00  \_ idle_inject/0
     14 ?        00:00:00  \_ cpuhp/0
     15 ?        00:00:00  \_ cpuhp/1
     16 ?        00:00:00  \_ idle_inject/1
     17 ?        00:00:00  \_ migration/1
     18 ?        00:00:00  \_ ksoftirqd/1
     20 ?        00:00:00  \_ kworker/1:0H-kblockd
     21 ?        00:00:00  \_ cpuhp/2
     22 ?        00:00:00  \_ idle_inject/2
     23 ?        00:00:00  \_ migration/2
     24 ?        00:00:00  \_ ksoftirqd/2
     26 ?        00:00:00  \_ kworker/2:0H-kblockd
     27 ?        00:00:00  \_ cpuhp/3
     28 ?        00:00:00  \_ idle_inject/3
     29 ?        00:00:00  \_ migration/3
     30 ?        00:00:00  \_ ksoftirqd/3
     32 ?        00:00:00  \_ kworker/3:0H-kblockd
     33 ?        00:00:00  \_ cpuhp/4
     34 ?        00:00:00  \_ idle_inject/4
     35 ?        00:00:00  \_ migration/4
     36 ?        00:00:00  \_ ksoftirqd/4
     38 ?        00:00:00  \_ kworker/4:0H-kblockd
     39 ?        00:00:00  \_ cpuhp/5
     40 ?        00:00:00  \_ idle_inject/5
     41 ?        00:00:00  \_ migration/5
     42 ?        00:00:00  \_ ksoftirqd/5
     44 ?        00:00:00  \_ kworker/5:0H-kblockd
     45 ?        00:00:00  \_ cpuhp/6
     46 ?        00:00:00  \_ idle_inject/6
     47 ?        00:00:00  \_ migration/6
     48 ?        00:00:01  \_ ksoftirqd/6
     50 ?        00:00:00  \_ kworker/6:0H-kblockd
     51 ?        00:00:00  \_ cpuhp/7
     52 ?        00:00:00  \_ idle_inject/7
     53 ?        00:00:00  \_ migration/7
     54 ?        00:00:00  \_ ksoftirqd/7
     56 ?        00:00:00  \_ kworker/7:0H-kblockd
     57 ?        00:00:00  \_ kdevtmpfs
     58 ?        00:00:00  \_ netns
     59 ?        00:00:00  \_ rcu_tasks_kthre
     60 ?        00:00:00  \_ rcu_tasks_rude_
     61 ?        00:00:00  \_ rcu_tasks_trace
     62 ?        00:00:02  \_ kauditd
     63 ?        00:00:00  \_ khungtaskd
     64 ?        00:00:00  \_ oom_reaper
     65 ?        00:00:00  \_ writeback
     66 ?        00:00:00  \_ kcompactd0
     67 ?        00:00:00  \_ ksmd
     68 ?        00:00:00  \_ khugepaged
    115 ?        00:00:00  \_ kintegrityd
    116 ?        00:00:00  \_ kblockd
    117 ?        00:00:00  \_ blkcg_punt_bio
    118 ?        00:00:00  \_ tpm_dev_wq
    119 ?        00:00:00  \_ ata_sff
    120 ?        00:00:00  \_ md
    121 ?        00:00:00  \_ edac-poller
    122 ?        00:00:00  \_ devfreq_wq
    123 ?        00:00:00  \_ watchdogd
    125 ?        00:00:00  \_ pm_wq
    127 ?        00:00:02  \_ kswapd0
    128 ?        00:00:00  \_ ecryptfs-kthrea
    130 ?        00:00:00  \_ kthrotld
    131 ?        00:00:00  \_ irq/122-pciehp
    132 ?        00:00:00  \_ irq/123-aerdrv
    133 ?        00:00:00  \_ irq/123-pcie-dp
    140 ?        00:00:00  \_ acpi_thermal_pm
    141 ?        00:00:00  \_ vfio-irqfd-clea
